"document_link","dropdown_texts"
"https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/1653643f36d0a888c1256f9a0047b26c?OpenDocument","Campagna e Marittima"
"https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/16932ea892de4302c1256fac00405158?OpenDocument","Sovana"
"https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/16a70b07578adc41c1256fa3005fbb46?OpenDocument","Lucca di Giupana, Luca di Giuppana"
"https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/16f485515a34be84c1256f3b004d21e2?OpenDocument","Tenda"
"https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/171cf05601b5d8f0c1256fa300601976?OpenDocument","Monêtier les Bains, Le Monêtier les Bains"
"https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/17a29057333191ebc1256fa2005a2ff0?OpenDocument","Ganzanigo (Medicina)"
"https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/17b746f1dba6f8c2c1256fa300601a7e?OpenDocument","Mongiovino (Panicale)"
"https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/17d030a7627d2ba1c1256fa40048e88e?OpenDocument","Parlascio e Ceppato (Casciana Terme)"
"https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/187383c89f42d61ac1256f9a0056e712?OpenDocument","Custoza, Costozza (Longare), Castelcovolo"
"https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/19564a4cdf16e95cc1256f9a00405a87?OpenDocument","Arcetum, Arceto (Scandiano)"
"https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/19c00781817b30aec1256fa2005a264f?OpenDocument","Friburgo, Fribourg"
"https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/19fe85c701cc6185c1256fa2005a5323?OpenDocument","Intrum, Intra (Verbania)"
"https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/1b4dd12c28798032c1256fac0040220c?OpenDocument","Sant'Agostino"
"https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/1b8d2877cf9d1e66c1256f9a0042350b?OpenDocument","Billio, Bilio (Bagnone in Lunigiana), Biglio"
"https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/1bfaf39d9070e47dc1256fa400491ea5?OpenDocument","Popoli"
"https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/1cfd5f7d530f15f6c1256f9a0049223d?OpenDocument","Cicolano"
"https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/1d0f52a0f45e8cdbc1256fa3005fe3af?OpenDocument","Mendrisio"
"https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/1d1c6397f9765195c1256fa40048cd09?OpenDocument","Nozzano (Lucca), Nossanum"
"https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/1d87bde4bcfb14d6c1256f9a0056f80e?OpenDocument","Dignano d'Istria"
"https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/1d87c6ecf83cecdec1256fa400490e48?OpenDocument","Pinguente"
"https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/1d8ba2c6fad86ec8c1256f9a0049196c?OpenDocument","Chianti"
"https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/1d917651ba2ad8a6c1256f40003d13d0?OpenDocument","Trasimeno (Lago)"
"https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/1d9d3c10e6979fb5c1256fa400490302?OpenDocument","Pesey"
"https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/1ddf0c3ba9e6925bc1256fa40048c60f?OpenDocument","Nicola (Ortonovo), Nichola"
"https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/1e1113ad466ebba9c1256fac003efbce?OpenDocument","Ruvigno, Ruginio, Rubinun, Rovigno, Revigno"
"https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/1e6932b3eeda4b43c1256fa4004920b6?OpenDocument","Portus Mauritii, Porto Maurizio"
"https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/1ed4e89070945d94c1256f40005bccc5?OpenDocument","Torri in Val di Pesa"
"https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/1ff514e1132f6e63c1256f9a0056d667?OpenDocument","Cava dei Tirreni"
"https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/20285acd5b2419c4c1256fa2005a4b84?OpenDocument","Gravosium, Gravosa"
"https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/20b09fc51083ef73c1256f9a0056f8ba?OpenDocument","Zaton, Saton, Dolli, Doli"
"https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/21578c771be0f7c7c1256fa40048d0e9?OpenDocument","Orsera, Orsara dell'Istria"
"https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/21db7d9c1937e26dc1256f3b004d2c7c?OpenDocument","Tuscinianum, Tossignano (Borgo Tossignano)"
