"dropdown_value","dropdown_text.x","document_link","link_text.x","earliest_year.x","correct_name","dropdown_text.y","link_text.y","earliest_year.y","com_name","PRO_COM_T","COMUNE","stat","year_earliest_statuto","Nomi_statuti","NOME","PRO_COM","DROP"
"Torre Orsaia","Torre Orsaia","https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/548cf72819a3206bc1256f3b004d2bde?OpenDocument","Torre Orsaia I 1, I - Statuti dei comuni, 1502",1502,"Torre Orsaia","Torre Orsaia","Torre Orsaia I 1, I - Statuti dei comuni, 1502",1502,"Torre Orsaia",65149,"Torre Orsaia",1,1502,NA,NA,NA,NA
"Torrebelvicino","Torrebelvicino","https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/6710a4db161b2ea1c1256f3b004d2b4d?OpenDocument","Torrebelvicino I 1, I - Statuti dei comuni, 1306-1792",1306,"Torrebelvicino","Torrebelvicino","Torrebelvicino I 1, I - Statuti dei comuni, 1306-1792",1306,"Torrebelvicino",24107,"Torrebelvicino",1,1306,NA,NA,NA,NA
"Torrice","Torrice","https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/f992ebfc76f1e2cec1256f3b004d2bf4?OpenDocument","Torrice I 1, I - Statuti dei comuni, 1558-1559",1558,"Torrice","Torrice","Torrice I 1, I - Statuti dei comuni, 1558-1559",1558,"Torrice",60079,"Torrice",1,1558,NA,NA,NA,NA
"Torriglia","Torriglia","https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/1ad0bfec0d8ce893c1256f3b004d2c05?OpenDocument","Torriglia I 1, I - Statuti dei comuni, 1736",1736,"Torriglia","Torriglia","Torriglia I 1, I - Statuti dei comuni, 1736",1736,"Torriglia",10062,"Torriglia",1,1736,NA,NA,NA,NA
"Torrita di Siena","Torrita di Siena","https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/a16016e5f5b39d84c1256f3b004d2c24?OpenDocument","Torrita di Siena I 1, I - Statuti dei comuni, 1777",1777,"Torrita di Siena","Torrita di Siena","Torrita di Siena I 1, I - Statuti dei comuni, 1777",1777,"Torrita di Siena",52035,"Torrita di Siena",1,1777,NA,NA,NA,NA
"Torrita Tiberina","Torrita Tiberina","https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/5bd0fbe83b31941ac1256f3b004d2c33?OpenDocument","Torrita Tiberina I 1, I - Statuti dei comuni, 1593-1797",1593,"Torrita Tiberina","Torrita Tiberina","Torrita Tiberina I 1, I - Statuti dei comuni, 1593-1797",1593,"Torrita Tiberina",58106,"Torrita Tiberina",1,1593,NA,NA,NA,NA
"Torsciano","Torsciano","https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/185f15db020a90bdc1256f3b004d271f?OpenDocument","Torgiano I 1, I - Statuti dei comuni, 1426-1562",1426,"Torgiano","Torgiano","Torgiano I 1, I - Statuti dei comuni, 1426-1562",1426,"Torgiano",54053,"Torgiano",1,1426,NA,NA,NA,NA
"Torsciuanum","Torsciuanum","https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/185f15db020a90bdc1256f3b004d271f?OpenDocument","Torgiano I 1, I - Statuti dei comuni, 1426-1562",1426,"Torgiano","Torgiano","Torgiano I 1, I - Statuti dei comuni, 1426-1562",1426,"Torgiano",54053,"Torgiano",1,1426,NA,NA,NA,NA
"Tortona","Tortona","https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/e072254115dead11c1256f3b004d2c47?OpenDocument","Tortona I 1, I - Statuti dei comuni, 1327-1573",1327,"Tortona","Tortona","Tortona I 1, I - Statuti dei comuni, 1327-1573",1327,"Tortona",6174,"Tortona",1,1327,NA,NA,NA,NA
"Tortora","Tortora","https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/a0d69f14a16eabf5c1256f3b004d2c6b?OpenDocument","Tortora I 1, I - Statuti dei comuni, 1490",1490,"Tortora","Tortora","Tortora I 1, I - Statuti dei comuni, 1490",1490,"Tortora",78149,"Tortora",1,1490,NA,NA,NA,NA
"Toscanella","Toscanella","https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/823be11f7133f45fc1256f3b004d37ce?OpenDocument","Tuscania I 1, I - Statuti dei comuni, 1423",1423,"Tuscania","Tuscania","Tuscania I 1, I - Statuti dei comuni, 1423",1423,"Tuscania",56052,"Tuscania",1,1423,NA,NA,NA,NA
"Traetto","Traetto","https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/31c562616299cb42c1256fa30060098e?OpenDocument","Minturno I 1, I - Statuti dei comuni, 1751-1826",1751,"Minturno","Minturno","Minturno I 1, I - Statuti dei comuni, 1751-1826",1751,"Minturno",59014,"Minturno",1,1751,NA,NA,NA,NA
"Trambelleno","Trambelleno","https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/149dddea6497272bc1256f3b004d2cac?OpenDocument","Trambileno I 1, I - Statuti dei comuni, 1578-1582",1578,"Trambileno","Trambileno","Trambileno I 1, I - Statuti dei comuni, 1578-1582",1578,"Trambileno",22203,"Trambileno",1,1578,NA,NA,NA,NA
"Trambileno","Trambileno","https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/149dddea6497272bc1256f3b004d2cac?OpenDocument","Trambileno I 1, I - Statuti dei comuni, 1578-1582",1578,"Trambileno","Trambileno","Trambileno I 1, I - Statuti dei comuni, 1578-1582",1578,"Trambileno",22203,"Trambileno",1,1578,NA,NA,NA,NA
"Tramonti","Tramonti","https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/d8e5085374079ee1c1256f3b004d2cc5?OpenDocument","Tramonti I 1, I - Statuti dei comuni, 1461",1461,"Tramonti","Tramonti","Tramonti I 1, I - Statuti dei comuni, 1461",1461,"Tramonti",65151,"Tramonti",1,1461,NA,NA,NA,NA
"Trani","Trani","https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/52e9b980a9531882c1256f3b004d2ccf?OpenDocument","Trani I 1, I - Statuti dei comuni, 915-1559",1559,"Trani","Trani","Trani I 1, I - Statuti dei comuni, 915-1559",1559,"Trani",110009,"Trani",1,1559,NA,NA,NA,NA
"Trapani","Trapani","https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/01ea5271072cf023c1256f3b004d2dcc?OpenDocument","Trapani I 1, I - Statuti dei comuni, sec. XIV",NA,"Trapani","Trapani","Trapani I 1, I - Statuti dei comuni, sec. XIV",NA,"Trapani",81021,"Trapani",1,NA,NA,NA,NA,NA
"Trapanum","Trapanum","https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/01ea5271072cf023c1256f3b004d2dcc?OpenDocument","Trapani I 1, I - Statuti dei comuni, sec. XIV",NA,"Trapani","Trapani","Trapani I 1, I - Statuti dei comuni, sec. XIV",NA,"Trapani",81021,"Trapani",1,NA,NA,NA,NA,NA
"Trecate","Trecate","https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/bf570551f5004d36c1256f3b004d2edd?OpenDocument","Trecate I 1, I - Statuti dei comuni, 1270-1575",1270,"Trecate","Trecate","Trecate I 1, I - Statuti dei comuni, 1270-1575",1270,"Trecate",3149,"Trecate",1,1270,NA,NA,NA,NA
"Tregnago","Tregnago","https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/ce25bed796afd480c1256f3b004d2f2a?OpenDocument","Tregnago I 1, I - Statuti dei comuni, 1780",1780,"Tregnago","Tregnago","Tregnago I 1, I - Statuti dei comuni, 1780",1780,"Tregnago",23087,"Tregnago",1,1780,NA,NA,NA,NA
"Treia","Treia","https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/ec155fe417c18651c1256f3b004d2f36?OpenDocument","Treia I 1, I - Statuti dei comuni, 1323",1323,"Montecchio","Montecchio","Treia I 1, I - Statuti dei comuni, 1323",1323,"Montecchio",55018,"Montecchio",1,1323,NA,NA,NA,NA
"Treia","Treia","https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/ec155fe417c18651c1256f3b004d2f36?OpenDocument","Treia I 1, I - Statuti dei comuni, 1323",1323,"Treia","Treia","Treia I 1, I - Statuti dei comuni, 1323",1323,"Montecchio",55018,"Montecchio",1,1323,NA,NA,NA,NA
"Trento","Trento","https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/4c919c3fd3636e60c1256f3b004d2f64?OpenDocument","Trento I 1, I - Statuti dei comuni, 1027-1689",1027,"Trento","Trento","Trento I 1, I - Statuti dei comuni, 1027-1689",1027,"Trento",22205,"Trento",1,1027,NA,NA,NA,NA
"Treppo Carnico","Treppo Carnico","https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/45840a59880a6347c1256f3b004d318d?OpenDocument","Treppo Carnico I 1, I - Statuti dei comuni, 1769",1769,"Treppo Carnico","Treppo Carnico","Treppo Carnico I 1, I - Statuti dei comuni, 1769",1769,"Treppo Carnico",30125,"Treppo Carnico",1,1769,NA,NA,NA,NA
"Trequanda","Trequanda","https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/c2596eda2e871b21c1256f3b004d319b?OpenDocument","Trequanda I 1, I - Statuti dei comuni, 1777",1777,"Trequanda","Trequanda","Trequanda I 1, I - Statuti dei comuni, 1777",1777,"Trequanda",52036,"Trequanda",1,1777,NA,NA,NA,NA
"Tres","Tres","https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/315cf071b086eeadc1256f3b004d31a7?OpenDocument","Tres I 1, I - Statuti dei comuni, 1551-1732",1551,"Tres","Tres","Tres I 1, I - Statuti dei comuni, 1551-1732",1551,"Tres",22206,"Tres",1,1551,NA,NA,NA,NA
"Treve","Treve","https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/9da8af123d5f60e9c1256f3b004d3232?OpenDocument","Trevi nel Lazio I 1, I - Statuti dei comuni, 1534",1534,"Trevi nel Lazio","Trevi nel Lazio","Trevi nel Lazio I 1, I - Statuti dei comuni, 1534",1534,"Trevi nel Lazio",60080,"Trevi nel Lazio",1,1534,NA,NA,NA,NA
"Trevenzuolo","Trevenzuolo","https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/6dc57727f5cb8951c1256f3b004d31e0?OpenDocument","Trevenzuolo I 1, I - Statuti dei comuni, 1217",1217,"Trevenzuolo","Trevenzuolo","Trevenzuolo I 1, I - Statuti dei comuni, 1217",1217,"Trevenzuolo",23088,"Trevenzuolo",1,1217,NA,NA,NA,NA
"Trevi nel Lazio","Trevi nel Lazio","https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/9da8af123d5f60e9c1256f3b004d3232?OpenDocument","Trevi nel Lazio I 1, I - Statuti dei comuni, 1534",1534,"Trevi nel Lazio","Trevi nel Lazio","Trevi nel Lazio I 1, I - Statuti dei comuni, 1534",1534,"Trevi nel Lazio",60080,"Trevi nel Lazio",1,1534,NA,NA,NA,NA
"Treviglio","Treviglio","https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/8bad384eaf210bc7c1256f3b004d31ee?OpenDocument","Treviglio I 1, I - Statuti dei comuni, 1392",1392,"Treviglio","Treviglio","Treviglio I 1, I - Statuti dei comuni, 1392",1392,"Treviglio",16219,"Treviglio",1,1392,NA,NA,NA,NA
"Trevignano Romano","Trevignano Romano","https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/430092a9b439bac3c1256f3b004d31fd?OpenDocument","Trevignano Romano I 1, I - Statuti dei comuni, 1553",1553,"Trevignano Romano","Trevignano Romano","Trevignano Romano I 1, I - Statuti dei comuni, 1553",1553,"Trevignano Romano",58107,"Trevignano Romano",1,1553,NA,NA,NA,NA
"Treville","Treville","https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/d4b492b1c3013c51c1256f3b004d3215?OpenDocument","Treville I 1, I - Statuti dei comuni, 1303-1495",1303,"Treville","Treville","Treville I 1, I - Statuti dei comuni, 1303-1495",1303,"Treville",6175,"Treville",1,1303,NA,NA,NA,NA
