document_link,Nomi_statuti,NOME ,PRO_COM,DROP
https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/13a44467b5285f68c1256fac00402a77?OpenDocument,"Sanctus Peregrinus, San Pellegrino (Gualdo Tadino)",Gualdo Tadino,054023,
https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/13ca11437702c5f3c1256fa3005fcfef?OpenDocument,Malta,#VALUE!,,Y
https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/1457776c4ba71b8dc1256fa300601532?OpenDocument,"Momiano, Mimilianum",#VALUE!,,Y
https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/1537882a5143835ec1256fac003eef8e?OpenDocument,"Riviera di Salò, Riviera Brisense, Riviera Benacense, Ripperia",https://it.wikipedia.org/wiki/Riviera_di_Sal%C3%B2,,
https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/154245cfa2fdbdf5c1256f9a0056d9a5?OpenDocument,"Ceppato (Casciana Terme), Bagni di Casciana",Casciana Terme Lari,050040,
https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/16406f76dc5c79ccc1256fa3005fe38d?OpenDocument,"Mijet, Melleda, Melita, Melida, Meleda",#VALUE!,,Y
https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/1653643f36d0a888c1256f9a0047b26c?OpenDocument,Campagna e Marittima,https://it.wikipedia.org/wiki/Campagna_e_Marittima,,
https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/16932ea892de4302c1256fac00405158?OpenDocument,Sovana,Sorano,53026,
https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/16a70b07578adc41c1256fa3005fbb46?OpenDocument,"Lucca di Giupana, Luca di Giuppana",#VALUE!,,Y
https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/16f485515a34be84c1256f3b004d21e2?OpenDocument,Tenda,#VALUE!,,Y
