dropdown_value,dropdown_text,document_link
Altomonte,Altomonte,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/4c2b3328a729f70bc1256f9a004053c5?OpenDocument
Alvito,Alvito,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/690b92fe408034d3c1256f9a004053e4?OpenDocument
Alvona,Alvona,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/5235a335f3fdfcf3c1256f9a004050a7?OpenDocument
Alzano di Sotto,Alzano di Sotto,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/adfe1a6f5c8eb517c1256f9a004053f2?OpenDocument
Alzano Lombardo,Alzano Lombardo,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/adfe1a6f5c8eb517c1256f9a004053f2?OpenDocument
Alzano Maggiore,Alzano Maggiore,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/adfe1a6f5c8eb517c1256f9a004053f2?OpenDocument
Amalfi,Amalfi,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/e460c6b8758c6316c1256f9a00405441?OpenDocument
Amalpha,Amalpha,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/e460c6b8758c6316c1256f9a00405441?OpenDocument
Amalphia,Amalphia,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/e460c6b8758c6316c1256f9a00405441?OpenDocument
Amandola,Amandola,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/d6ad883a4a6d0329c1256f9a00405529?OpenDocument
Amandula,Amandula,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/d6ad883a4a6d0329c1256f9a00405529?OpenDocument
Amatrice,Amatrice,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/ed6b05a2cba03f09c1256f9a00405546?OpenDocument
Amatrix,Amatrix,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/ed6b05a2cba03f09c1256f9a00405546?OpenDocument
Ameglia,Ameglia,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/d4ab9764e439e961c1256f9a0040558f?OpenDocument
Amelia,Amelia,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/0bbf35d0dea969f2c1256f9a004055aa?OpenDocument
Amendolara,Amendolara,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/5904236959ce491bc1256f9a00405635?OpenDocument
Ameria,Ameria,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/0bbf35d0dea969f2c1256f9a004055aa?OpenDocument
Ampezzo,Ampezzo,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/d515d13bc9a66bd5c1256f9a00405641?OpenDocument
Anagni,Anagni,https://www.senato.it/w3/Biblioteca/catalogoDegliStatutiMedievali.nsf/de148d287da34e08c1256e4c002f1718/8f60c9db9d685879c1256f9a0040564c?OpenDocument
